Smiles,AlogP,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI
O=C(NCCN1CCCC1)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1,4.9,12.2,0.24,1.31,6.52
Cc1c(C(=O)NCCN2CCOCC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,4.44,15.58,0.3,3.96,8.04
CCN(CC)CCNC(=O)c1[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1C,5.45,11.46,0.22,0.57,6.32
CCOC(=O)c1[nH]c(C)c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,5.56,13.26,0.26,0.47,6.77
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1ccc(O)c(O)c1,2.3,15.96,0.29,2.44,3.9
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccc(O)cc1,2.03,17.85,0.33,3.51,4.88
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCCC(=O)NO,5.01,16.68,0.33,2.71,7.31
C=C(C)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,4.65,12.57,0.27,0.17,7.2
Cc1ccc(NC(=O)c2ccc(N(CCCl)CCCl)cc2)cc1,4.53,16.3,0.34,1.2,17.71
O=C(NC1CCCC1)c1ccc(N(CCCl)CCCl)cc1,3.64,13.11,0.28,0.68,13.34
CS(=O)(=O)CCNc1nc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)cs1,5.53,13.77,0.27,1.79,6.9
CN(C)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,4.15,11.13,0.24,0.44,6.54
COCC(=O)NCC#Cc1ccc2ncnc(Nc3ccc(Oc4ccc(C(=O)NCC(C)(C)C)cc4)c(C)c3)c2c1,5.36,12.12,0.22,1.49,5.99
COCCOc1ccc2ncnc(Nc3ccc(OC4CCN(C(=O)CC(C)(C)C)CC4)c(C)c3)c2c1,5.51,15.24,0.29,2.21,9
COCC(=O)NCC#Cc1ccc2ncnc(Nc3ccc(OC4CCN(C(=O)C5CCCO5)CC4)c(C)c3)c2c1,3.34,9.93,0.18,2.2,4.82
COCC(=O)NCC#Cc1ccc2ncnc(Nc3ccc(OC4CCN(C(=O)c5cccc(Cl)c5)CC4)c(C)c3)c2c1,5.13,11.91,0.23,1.99,6.74
Clc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,6.85,14.4,0.27,-1.34,35.34
COc1ccc(C2=NN(C(N)=S)C(c3cccc4ccccc34)C2)cc1,4.24,14.88,0.28,1.14,10.58
NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1cccc2ccccc12,5.54,12.9,0.27,-0.38,12.41
CCNC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,5.89,14.81,0.29,1.01,7.83
COC(=O)CNCc1ccc(-c2cc3c(Nc4ccc(OCc5ccccc5)cc4)ncnc3cn2)o1,4.87,15.91,0.29,3.02,7.08
OCc1ccc(-c2cc3c(Nc4ccc(OCc5ccccc5)cc4)ncnc3cn2)o1,5.1,19.78,0.36,3.3,9
O=C1N=C(C(=O)c2c[nH]c3ccccc23)N/C1=C\c1c[nH]c2cc(O)ccc12,3.11,13.85,0.25,2.02,4.65
C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,5.38,16.84,0.34,2.9,10.81
COCCCN1CCN([C@H]2CC[C@@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,5.75,10.39,0.2,0.65,5.19
CN(C)c1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnc2cn1,4.23,19.71,0.35,3.57,10.86
CC(C)N1CCC(N2CCC(n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,6.12,13.34,0.25,1.7,6.85
O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,4.88,16.08,0.32,3.08,10.04
O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)nn1)NO,6.46,13.19,0.25,1.33,6.13
